config	codepoints	kinds	matched_entry	baseline	new
default	E668:E650:E650:E668	cell,seam	pea-chain-regularized	qsRoe|qsPea|qsPea.half.ex-y5.ex-dips|qsRoe.en-y5.en-con-1	qsRoe/hapax/None/None/|qsPea/half/None/y6/|qsPea/half/y6/x-height/|qsRoe/hapax/x-height/None/en-con-1
default	E668:E650:E652:E653	cell	dangling-anchor-dropped	qsRoe|qsPea|qsTea.ex-y0|qsDay.half.en-y0.ex-y0.en-ext-1	qsRoe/hapax/None/None/|qsPea/full/None/None/|qsTea/full/None/baseline/|qsDay/half/baseline/None/en-ext-1
default	E668:E650:E653:0020	cell	boundary-echo	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|space	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/|space/boundary/None/None/
default	E668:E650:E653:00B7	cell	dangling-anchor-dropped	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|periodcentered	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/|namer-dot/boundary/None/None/
default	E668:E650:E653:200C	cell	boundary-echo	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|space	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/|zwnj/boundary/None/None/
default	E668:E650:E653:E650	cell	dangling-anchor-dropped	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|qsPea	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/None/|qsPea/full/None/None/
default	E668:E650:E653:E652	cell	bare-name-live-join	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|qsTea.en-y0	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/baseline/|qsTea/full/baseline/None/
default	E668:E650:E653:E653	cell	dangling-anchor-dropped	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|qsDay.half.en-y0.ex-y0	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/baseline/|qsDay/half/baseline/None/
default	E668:E650:E653:E668	cell	bare-name-live-join	qsRoe|qsPea|qsDay.half.en-y0.ex-y0|qsRoe	qsRoe/hapax/None/None/|qsPea/full/None/baseline/|qsDay/half/baseline/baseline/|qsRoe/hapax/baseline/None/
default	E668:E650:E668:E668	cell,position	bare-name-live-join	qsRoe|qsPea.half.ex-y5.ex-dips|qsRoe.ex-y0|qsRoe	qsRoe/hapax/None/None/|qsPea/half/None/x-height/|qsRoe/hapax/x-height/baseline/en-con-1|qsRoe/hapax/baseline/None/
